vendor_id,vendor_name,booth,normalized_booth,payload,svg_file,png_file,printed,delivered,verified,notes
1,Triple Pearl,B41,B41,RIGFEST-VENDOR-001,svg/B41-triple-pearl.svg,png/B41-triple-pearl.png,,,,
2,Wizard,B42,B42,RIGFEST-VENDOR-002,svg/B42-wizard.svg,png/B42-wizard.png,,,,
3,Chitbeer,B22,B22,RIGFEST-VENDOR-003,svg/B22-chitbeer.svg,png/B22-chitbeer.png,,,,
4,Chit Hole,,NO-BOOTH,RIGFEST-VENDOR-004,svg/NO-BOOTH-chit-hole.svg,png/NO-BOOTH-chit-hole.png,,,,
5,Vanorn,,NO-BOOTH,RIGFEST-VENDOR-005,svg/NO-BOOTH-vanorn.svg,png/NO-BOOTH-vanorn.png,,,,
6,Brewbridge,B32,B32,RIGFEST-VENDOR-006,svg/B32-brewbridge.svg,png/B32-brewbridge.png,,,,
7,Beerfest,B12,B12,RIGFEST-VENDOR-007,svg/B12-beerfest.svg,png/B12-beerfest.png,,,,
8,Cozy Wine,,NO-BOOTH,RIGFEST-VENDOR-008,svg/NO-BOOTH-cozy-wine.svg,png/NO-BOOTH-cozy-wine.png,,,,
9,Steel & Bone,B38,B38,RIGFEST-VENDOR-009,svg/B38-steel-bone.svg,png/B38-steel-bone.png,,,,
10,Dibuk,,NO-BOOTH,RIGFEST-VENDOR-010,svg/NO-BOOTH-dibuk.svg,png/NO-BOOTH-dibuk.png,,,,
11,GoDrunkLab,B3,B03,RIGFEST-VENDOR-011,svg/B03-godrunklab.svg,png/B03-godrunklab.png,,,,
12,AunderWild,B3,B03,RIGFEST-VENDOR-012,svg/B03-aunderwild.svg,png/B03-aunderwild.png,,,,
13,Wiset Beer,B23,B23,RIGFEST-VENDOR-013,svg/B23-wiset-beer.svg,png/B23-wiset-beer.png,,,,
14,Spirit of Songkla,B2,B02,RIGFEST-VENDOR-014,svg/B02-spirit-of-songkla.svg,png/B02-spirit-of-songkla.png,,,,
15,Jibbeer,B20,B20,RIGFEST-VENDOR-015,svg/B20-jibbeer.svg,png/B20-jibbeer.png,,,,
16,MAD Beer,B31,B31,RIGFEST-VENDOR-016,svg/B31-mad-beer.svg,png/B31-mad-beer.png,,,,
17,Umbrewla group,B37,B37,RIGFEST-VENDOR-017,svg/B37-umbrewla-group.svg,png/B37-umbrewla-group.png,,,,
18,Rama II,B29,B29,RIGFEST-VENDOR-018,svg/B29-rama-ii.svg,png/B29-rama-ii.png,,,,
19,Hopzone,B44,B44,RIGFEST-VENDOR-019,svg/B44-hopzone.svg,png/B44-hopzone.png,,,,
20,Small town,,NO-BOOTH,RIGFEST-VENDOR-020,svg/NO-BOOTH-small-town.svg,png/NO-BOOTH-small-town.png,,,,
21,Kaab House,,NO-BOOTH,RIGFEST-VENDOR-021,svg/NO-BOOTH-kaab-house.svg,png/NO-BOOTH-kaab-house.png,,,,
22,Khoy Brewing,B26,B26,RIGFEST-VENDOR-022,svg/B26-khoy-brewing.svg,png/B26-khoy-brewing.png,,,,
23,Haru Craft,B18,B18,RIGFEST-VENDOR-023,svg/B18-haru-craft.svg,png/B18-haru-craft.png,,,,
24,Satun Bier,B6,B06,RIGFEST-VENDOR-024,svg/B06-satun-bier.svg,png/B06-satun-bier.png,,,,
25,Buraza house,B16,B16,RIGFEST-VENDOR-025,svg/B16-buraza-house.svg,png/B16-buraza-house.png,,,,
26,Moonray,B33,B33,RIGFEST-VENDOR-026,svg/B33-moonray.svg,png/B33-moonray.png,,,,
27,Alone Craft,B9,B09,RIGFEST-VENDOR-027,svg/B09-alone-craft.svg,png/B09-alone-craft.png,,,,
28,Samarn Craft,B21,B21,RIGFEST-VENDOR-028,svg/B21-samarn-craft.svg,png/B21-samarn-craft.png,,,,
29,บรรเจิดเบียร์,B24,B24,RIGFEST-VENDOR-029,svg/B24-vendor-29.svg,png/B24-vendor-29.png,,,,
30,Mongkol Brewing,B7,B07,RIGFEST-VENDOR-030,svg/B07-mongkol-brewing.svg,png/B07-mongkol-brewing.png,,,,
31,MR.SATO,B39,B39,RIGFEST-VENDOR-031,svg/B39-mrsato.svg,png/B39-mrsato.png,,,,
32,SRIRACHA Brew,B40,B40,RIGFEST-VENDOR-032,svg/B40-sriracha-brew.svg,png/B40-sriracha-brew.png,,,,
33,HAPPYBIRTHDAY BREWING,B1,B01,RIGFEST-VENDOR-033,svg/B01-happybirthday-brewing.svg,png/B01-happybirthday-brewing.png,,,,
34,สีสวาด,B15,B15,RIGFEST-VENDOR-034,svg/B15-vendor-34.svg,png/B15-vendor-34.png,,,,
35,APIROAM,B43,B43,RIGFEST-VENDOR-035,svg/B43-apiroam.svg,png/B43-apiroam.png,,,,
36,KHAO KHO CRAFT,B25,B25,RIGFEST-VENDOR-036,svg/B25-khao-kho-craft.svg,png/B25-khao-kho-craft.png,,,,
37,The Brewing Corner,B4,B04,RIGFEST-VENDOR-037,svg/B04-the-brewing-corner.svg,png/B04-the-brewing-corner.png,,,,
38,Craft on the moon,B30,B30,RIGFEST-VENDOR-038,svg/B30-craft-on-the-moon.svg,png/B30-craft-on-the-moon.png,,,,
39,Country land,B13,B13,RIGFEST-VENDOR-039,svg/B13-country-land.svg,png/B13-country-land.png,,,,
40,Lanta brewery,B11,B11,RIGFEST-VENDOR-040,svg/B11-lanta-brewery.svg,png/B11-lanta-brewery.png,,,,
41,Mighty Ale,B8,B08,RIGFEST-VENDOR-041,svg/B08-mighty-ale.svg,png/B08-mighty-ale.png,,,,
42,Chiang Rai Hops Yard,B5,B05,RIGFEST-VENDOR-042,svg/B05-chiang-rai-hops-yard.svg,png/B05-chiang-rai-hops-yard.png,,,,
43,underdog+ bavarian craft,B36,B36,RIGFEST-VENDOR-043,svg/B36-underdog-bavarian-craft.svg,png/B36-underdog-bavarian-craft.png,,,,
44,CHACHOENGSAO FARM,B24,B24,RIGFEST-VENDOR-044,svg/B24-chachoengsao-farm.svg,png/B24-chachoengsao-farm.png,,,,
45,HJB,,NO-BOOTH,RIGFEST-VENDOR-045,svg/NO-BOOTH-hjb.svg,png/NO-BOOTH-hjb.png,,,,
46,Azytone,B27,B27,RIGFEST-VENDOR-046,svg/B27-azytone.svg,png/B27-azytone.png,,,,
47,Jo+ Beer,B25,B25,RIGFEST-VENDOR-047,svg/B25-jo-beer.svg,png/B25-jo-beer.png,,,,
48,Chalong Bay Rum,B14,B14,RIGFEST-VENDOR-048,svg/B14-chalong-bay-rum.svg,png/B14-chalong-bay-rum.png,,,,
49,ISLE Craft Cider,B33,B33,RIGFEST-VENDOR-049,svg/B33-isle-craft-cider.svg,png/B33-isle-craft-cider.png,,,,
